subject_id,motion_coherence,prior_std,block_phase,n_trials,mean_believed_sd,mean_believed_alpha,median_believed_sd,median_believed_alpha
1,0.12,40,middle,202,27.587548440458633,0.8126060395865025,28.38227365061711,0.8362363076858291
1,0.12,80,early,391,26.240278755700455,0.5478420393510579,26.94881726969509,0.5265557706868018
1,0.12,80,late,424,27.89968078541489,0.5338868650985864,29.42766549115489,0.5174977431959566
1,0.12,80,middle,385,27.470271417705185,0.5240666976034104,28.95031003631173,0.5131100293355075
1,0.24,10,early,87,10.328600591976468,0.9289640893089729,10.15434154955567,0.9480570077671607
1,0.24,10,late,100,10.074531913528254,0.9557940392490917,10.162210799155481,0.962103176253316
1,0.24,10,middle,98,10.071944431638912,0.9547105058069755,10.108372016451327,0.9619657765006266
1,0.24,20,early,78,16.506099666068202,0.8731385406502591,16.65367955992209,0.8960982908667179
1,0.24,20,late,95,17.983132272449446,0.9031508734710249,18.443657526963886,0.9294188924799391
1,0.24,20,middle,76,18.192729644695152,0.9129951883830214,18.35718695445587,0.9277127936350626
1,0.24,40,early,81,25.883053894526448,0.8024285635297259,26.47115113796163,0.8300294600648424
1,0.24,40,late,79,25.109497587166388,0.7961736661284934,25.3515546036038,0.8160692952764743
1,0.24,40,middle,82,27.453394967423133,0.8225340358503236,28.790257289770352,0.8392487076951591
1,0.24,80,early,191,26.62486927582345,0.5522350345569502,27.642662495075964,0.5237266385572402
1,0.24,80,late,181,28.669337048594773,0.5396564815161742,30.13040285287581,0.5212042090884176
1,0.24,80,middle,220,26.87347617667539,0.5339281688010734,27.52323641320448,0.5133982277474599
2,0.06,10,early,233,10.695575866125397,0.892356724289951,10.29940402507418,0.912178857908898
2,0.06,10,late,254,10.280184327019137,0.9132239697152049,10.222427577772237,0.9249044152890813
2,0.06,10,middle,262,10.303160287041537,0.915953188249962,10.189104550746883,0.9253690716710568
2,0.06,20,early,285,16.697895971800097,0.8222174078154783,16.400259427554513,0.8434110204097144
2,0.06,20,late,294,16.97424340497616,0.8416569791283686,16.948369057431417,0.8601807773216974
2,0.06,20,middle,277,17.21472744747066,0.8282363556793413,17.000654822722876,0.8534660005766719
2,0.06,40,early,263,22.802017573686676,0.6951174200474279,22.942791057662625,0.7122428402430014
2,0.06,40,late,262,24.53846710765609,0.6863675809450511,25.777293102709628,0.6967674565168518
2,0.06,40,middle,283,23.85127636247322,0.6764392296385674,24.575156322933584,0.6770825893283184
2,0.06,80,early,512,24.787428208292397,0.5311665652099795,25.954527396288427,0.5124838642515044
2,0.06,80,late,489,26.15314573314092,0.5195631019582556,27.493994723943736,0.5056939104680389
2,0.06,80,middle,483,25.67141276280339,0.518869194878315,26.5585548856641,0.5041920334996604
2,0.12,10,early,179,10.716062182822533,0.8922302992641215,10.318995291072117,0.9125872329403517
2,0.12,10,late,163,10.213443562609717,0.9139536410283426,10.171566433135599,0.92494007840187
2,0.12,10,middle,169,10.277214583069489,0.9186258806009513,10.20469921467343,0.9250536707270931
2,0.12,20,early,213,17.37073050171766,0.8132277868744676,17.149846734980972,0.8274905378001831
2,0.12,20,late,194,17.415454361519423,0.825809544105605,17.347792857954815,0.8513146454609788
2,0.12,20,middle,193,17.51836870910971,0.8290296035994082,17.28294494066925,0.8473464460360299
2,0.12,40,early,202,23.770731658704403,0.6854473329261953,25.16918331200258,0.6955958609993611
2,0.12,40,late,200,22.901094343860834,0.68648406591098,23.69005396415384,0.695787907057166
2,0.12,40,middle,198,24.13325720560213,0.6781588488512297,25.402037590411425,0.6925235806208159
2,0.12,80,early,330,24.715399141113654,0.5330733864516563,26.284752866926254,0.5182902732985415
2,0.12,80,late,361,25.901018687914238,0.5254701279984865,27.100478031513926,0.5138506360787802
2,0.12,80,middle,359,25.893739690335305,0.5135739334609296,28.016386150678823,0.5006704524225766
2,0.24,10,early,85,10.802987244119182,0.8936661240403061,10.200196639871672,0.9115810994439981
2,0.24,10,late,80,10.344337841280732,0.9102416714627445,10.288853023992285,0.9236401737083051
2,0.24,10,middle,66,10.307975712408926,0.9125390370393767,10.170253911284476,0.9243875509669663
2,0.24,20,early,78,16.437238088002694,0.8193413790164038,16.627060013011786,0.8428047624097916
2,0.24,20,late,88,17.823445502470552,0.821133918271283,17.89355466563063,0.8468673126910695
2,0.24,20,middle,98,17.014313428244265,0.8318885680266097,16.84912393101772,0.8454935640645156
2,0.24,40,early,87,23.832707587495648,0.6751750682253369,24.66805599904721,0.6775321686978756
2,0.24,40,late,90,23.63822117871426,0.6778023855994678,24.49053763866507,0.6940057017677677
2,0.24,40,middle,71,23.155609280697604,0.6784660554824633,24.468656402597826,0.7016546315920704
