subject_id,session_id,run_id,trial_index,motion_direction,estimate_deg,prior_mean,prior_std,motion_coherence,prior_kappa_t,predicted_estimate_deg,p_observed,observed_error_from_motion,predicted_error_from_motion,smoke_trial_order,block_id,trials_into_block,prev_prior_std,prior_std_change,simulated_error_from_motion,abs_simulated_error_from_motion,abs_predicted_error_from_motion,log_probability_of_simulated_response
1,2,7,9,235.0,238.6418337222995,225.0,20.0,0.24,32.5455119373478,231.0,0.01906346627112527,3.641833722299509,-4.0,63,7,9,10.0,10.0,3.641833722299509,3.641833722299509,4.0,-3.9599815362663815
1,2,8,1,235.0,247.75482212644937,225.0,40.0,0.06,8.303793299004166,231.0,0.012831046553592745,12.754822126449369,-4.0,64,8,1,20.0,20.0,12.754822126449369,12.754822126449369,4.0,-4.355887532863481
1,2,8,2,215.0,218.46602615709168,225.0,40.0,0.06,8.270301561365248,219.0,0.02116946592187149,3.466026157091676,4.0,65,8,2,20.0,20.0,3.466026157091676,3.466026157091676,4.0,-3.85519542221824
1,2,8,3,235.0,258.37069939150956,225.0,40.0,0.12,8.237100642829304,233.0,0.006858823957522525,23.37069939150956,-2.0,66,8,3,20.0,20.0,23.37069939150956,23.37069939150956,2.0,-4.982219286704442
1,2,8,4,285.0,266.2056167989914,225.0,40.0,0.24,8.204188018124238,277.0,0.017175644655346576,-18.7943832010086,-8.0,67,8,4,20.0,20.0,-18.7943832010086,18.7943832010086,8.0,-4.06426290706013
1,2,8,5,245.0,242.4193805396069,225.0,40.0,0.12,8.171561183905663,241.0,0.02110339519799459,-2.580619460393109,-4.0,68,8,5,20.0,20.0,-2.580619460393109,2.580619460393109,4.0,-3.858321341587155
1,2,8,6,225.0,216.4769272348629,225.0,40.0,0.06,8.139217658566512,225.0,0.018581493254703204,-8.523072765137101,0.0,69,8,6,20.0,20.0,-8.523072765137101,8.523072765137101,0.0,-3.9855891798967256
1,2,8,7,315.0,272.8564790862998,225.0,40.0,0.06,8.107154982048273,284.0,0.016941898320809598,-42.14352091370017,-31.0,70,8,7,20.0,20.0,-42.14352091370017,42.14352091370017,31.0,-4.077965534595698
1,2,8,8,265.0,270.9081593782651,225.0,40.0,0.12,8.075370715653886,257.0,0.014974062392229523,5.908159378265111,-8.0,71,8,8,20.0,20.0,5.908159378265111,5.908159378265111,8.0,-4.201435748478069
1,2,8,9,225.0,64.95930172207571,225.0,40.0,0.06,8.043862441862247,225.0,0.00036151178365557046,-160.0406982779243,0.0,72,8,9,20.0,20.0,-160.0406982779243,160.0406982779243,0.0,-7.925215920339117
1,2,9,1,255.0,263.38400211974823,225.0,80.0,0.12,5.460428788253891,251.0,0.016081405065330928,8.384002119748232,-4.0,73,9,1,40.0,40.0,8.384002119748232,8.384002119748232,4.0,-4.13009163936394
1,2,9,2,265.0,243.11469740641297,225.0,80.0,0.06,5.4617411818022426,254.0,0.017115169156378927,-21.885302593587028,-11.0,74,9,2,40.0,40.0,-21.885302593587028,21.885302593587028,11.0,-4.067790123532679
1,2,9,3,185.0,114.52156984027422,225.0,80.0,0.06,5.463042179432036,196.0,0.00036222274381143745,-70.47843015972578,11.0,75,9,3,40.0,40.0,-70.47843015972578,70.47843015972578,11.0,-7.923251220970551
1,2,9,4,165.0,178.23886365671086,225.0,80.0,0.06,5.4643318800975536,181.0,0.020890591306980535,13.238863656710862,16.0,76,9,4,40.0,40.0,13.238863656710862,13.238863656710862,16.0,-3.868456398070819
1,2,9,5,215.0,208.86372250797763,225.0,80.0,0.06,5.465610381893824,218.0,0.01822366276486857,-6.136277492022373,3.0,77,9,5,40.0,40.0,-6.136277492022373,6.136277492022373,3.0,-4.0050343774491575
1,2,9,6,145.0,172.6444524274188,225.0,80.0,0.12,5.466877782064089,155.0,0.012158608915052481,27.6444524274188,10.0,78,9,6,40.0,40.0,27.6444524274188,27.6444524274188,10.0,-4.4097178074213
1,2,9,7,255.0,261.7726352996845,225.0,80.0,0.24,5.468134177007197,252.0,0.017834506553384935,6.772635299684509,-3.0,79,9,7,40.0,40.0,6.772635299684509,6.772635299684509,3.0,-4.026620127871947
